Gene.Name,Expressionb,Expression,Expression.1,Expression.2,Expression.3,Expression.4,Expression.5,Expression.6,Expression.7,Expression.8,Expression.9,Expression.10,Expression.11,Expression.12,Expression.13,Expression.14,Expression.15,Expression.16,Expression.17,Expression.18,Expression.19,Expression.20,Expression.21,Expression.22,Expression.23,Expression.24,Expression.25,Expression.26,Expression.27,Expression.28,Expression.29,Expression.30,Expression.31,Expression.32,Expression.33,Expression.34,Expression.35,Expression.36,Expression.37,Expression.38
Cdc42,-0.04998597,0.050751665,-0.07729662,-0.117549285,-0.030001615,0.006988895,0.06795444,-0.02673058,-0.02002088,-0.087670195,0.00807378,-0.09952886,-0.010248935,0.119418995,-0.024740875,-0.201986735,-0.060354165,-0.1166794,-0.048634775,-0.3059776,0.08881089,-0.102989825,-0.28504199,0.047603275,-0.087736815,-0.254056815,-0.05894527,-0.01501917,-0.093126255,0.01159986,0.016950135,-0.106400175,0.08052385,-0.14571576,-0.013407435,-0.03110142,0.001196155,-0.07581851,-0.13625396,-0.00732546
Pla2g6,0.08332136,0.1724913,0.3228057,-0.0257627,0.22195899,0.17665628,0.18457566,0.26735626,0.44487463,0.26323326,0.34593473,0.1045236,0.21733269,0.28291085,-0.1382751,0.11146035,-0.0287184,0.0099696,0.11769011,0.2097648,0.39038317,0.2994015,-0.0730968,0.56175135,0.20904863,0.00135539,0.99922714,0.32027247,0.363479,0.20909275,0.28864493,0.11711591,0.18801189,0.12094645,0.38105088,0.30692678,0.17912734,0.16540589,0.0504106,-0.1961523
Akt2,-0.5589615,-0.4515194,-0.6122762,-0.6610396,-0.59315945,-0.48758885,-0.5866344,-0.5068099,-0.4679634,-0.6618754,-0.55201975,-0.567277,-0.43616815,-0.46467325,-0.56921395,-0.4703452,-0.59300385,-0.61184565,-0.5321152,-0.5439225,-0.46641885,-0.6257726,-0.7484548,-0.58165625,-0.4004353,-0.5167899,-0.5203194,-0.6123537,-0.4838216,-0.7311365,-0.6387734,-0.57337285,-0.48958305,-0.59273025,-0.43920785,-0.46258365,-0.63382365,-0.47507825,-0.62056505,-0.55388395
Plcg2,0.62727073,0.66567869,0.70409469,0.56790538,0.77938802,0.75691656,0.45917232,0.79649843,0.73570882,0.75524137,0.70339731,0.74927554,0.8570991,0.40417537,0.57057451,0.40490158,0.68761979,0.70134597,0.81430113,0.85882545,0.85452933,0.66506912,0.41569157,0.56049438,0.6870611,0.23956099,0.72137212,0.77345676,0.67895717,0.69570754,0.77046332,0.77496131,0.62368929,0.52779596,0.75579448,0.79682681,0.74298856,0.68993951,0.54132296,0.65286488
Mapk1,0.33278015,0.06935285,0.272936145,0.10822968,0.162783845,0.158856185,-0.10896761,0.26930021,0.240019965,0.090328605,0.170813635,0.13910152,0.13428297,0.24032595,0.37572419,-0.028806365,0.26006477,0.242730565,0.331512345,0.02275193,0.165513575,0.266595555,0.03086279,0.379112685,0.27536527,0.00215492,0.118101455,0.249473615,0.07514697,0.265202185,0.322509825,0.156829865,-0.0714396,0.08442705,0.209425235,0.256522445,0.317714875,-0.012163045,0.01812223,0.148512555
Rac2,-1.7297498,-1.6534302,-1.34156,-1.3710971,-1.3104128,-1.3724502,-1.0442028,-1.5969829,-1.2670515,-1.5920699,-1.4339308,-1.3247434,-1.2382914,-1.7113881,-1.6543498,-1.6699796,-1.3839623,-1.2996212,-1.4082673,-1.4562041,-1.2931027,-1.6117005,-1.5628627,-1.7467588,-1.5356282,-1.1779118,-1.2956381,-1.4936688,-1.5595713,-1.3720288,-1.3977654,-1.3208623,-1.1808003,-1.5620163,-1.3631769,-1.1612127,-1.5717303,-1.3342843,-1.4629157,-1.5245909
Rik,1.72993783,1.6658591,1.49888193,1.39178342,1.53329834,1.44056845,1.3254049,1.59991184,1.56361563,1.46714694,1.28542737,1.61165273,1.44431048,1.68113193,1.88972489,1.2283905,1.44734296,1.4808594,1.29416071,1.40519158,1.6323831,1.35971085,1.31993848,1.65491752,1.47681431,1.30121998,1.37650079,1.56248005,1.35620474,1.37128912,1.40720613,1.58519336,1.22816271,1.17934369,1.46710595,1.49195876,1.47159039,1.15517091,1.04509516,1.75125315
Mapkapk2,-1.306529,-1.34826,-1.0519214,-1.2835107,-0.9038489,-1.1855515,-1.0734547,-1.17338,-1.0190339,-0.9125317,-1.0383357,-1.0211874,-0.990378,-1.3699973,-1.2451034,-0.0822247,-1.1070199,-1.1873335,-0.9645644,-1.0643244,-1.0733018,-1.2094058,-1.1807635,-0.6090603,-1.3034961,-0.9069256,-1.0606673,-1.2327324,-1.0662819,-1.2670682,-1.1817289,-0.9592109,-1.0940751,-1.030954,-1.1417678,-0.9460818,-1.0542078,-0.9628626,-0.8342059,-1.3225172
Pik3cd,0.02635781,0.70677279,0.57970445,0.74373013,0.65435511,0.51693982,0.86096494,0.61297996,0.50572055,0.58389741,0.76176464,0.68363312,0.51262077,0.7595888,0.75191685,0.5124384,0.46915658,0.4918815,0.50035496,0.63764064,0.29971017,0.6028047,0.63563654,0.18431836,0.68819484,0.70025724,0.40032198,0.24067319,0.66932103,0.32004676,0.294957,0.63499957,0.63551756,0.72856044,0.77271283,0.488704,0.61466102,0.72334316,0.81043066,0.58032996
Pla2g5,0.11176156,0.34100345,-0.0672634,0.10867624,0.20882418,0.10479363,0.2740317,0.16904022,-0.2019175,0.10634916,0.15415931,0.06735549,-0.0129537,0.3393724,0.1357534,0.08993861,0.11758404,0.22632744,0.01245878,-0.352309,0.15066748,0.36158657,0.17786794,-0.1459381,0.02632538,0.22132421,0.00083662,0.10741647,0.55919906,0.27289985,0.22316082,-0.1257423,0.22166278,0.27062418,0.08041741,0.33976195,-0.0016959,0.02914201,0.21920148,0.37972469
